Year,Circuit,Driver,QualifyingPosition,RacePosition
2021,Portuguese Grand Prix,GIO,,12.0
2021,Portuguese Grand Prix,ALO,,8.0
2021,Portuguese Grand Prix,TSU,,15.0
2021,Spanish Grand Prix,HAM,,2.0
2021,Spanish Grand Prix,VER,,2.0
2021,Spanish Grand Prix,BOT,,3.0
2021,Spanish Grand Prix,LEC,,4.0
2021,Spanish Grand Prix,OCO,,8.0
2021,Spanish Grand Prix,SAI,,7.0
2021,Spanish Grand Prix,RIC,,6.0
2021,Spanish Grand Prix,PER,,5.0
2021,Spanish Grand Prix,NOR,,9.0
2021,Spanish Grand Prix,ALO,,17.0
2021,Spanish Grand Prix,STR,,13.0
2021,Spanish Grand Prix,GAS,,10.0
2021,Spanish Grand Prix,VET,,15.0
2021,Spanish Grand Prix,GIO,,18.0
2021,Spanish Grand Prix,RUS,,16.0
2021,Spanish Grand Prix,TSU,,16.0
2021,Spanish Grand Prix,RAI,,13.0
2021,Spanish Grand Prix,MSC,,18.0
2021,Spanish Grand Prix,LAT,,17.0
2021,Spanish Grand Prix,MAZ,,19.0
2021,Azerbaijan Grand Prix,LEC,,5.0
2021,Azerbaijan Grand Prix,HAM,,3.0
2021,Azerbaijan Grand Prix,VER,,1.0
2021,Azerbaijan Grand Prix,GAS,,5.0
2021,Azerbaijan Grand Prix,SAI,,9.0
2021,Azerbaijan Grand Prix,NOR,,8.0
2021,Azerbaijan Grand Prix,PER,,2.0
2021,Azerbaijan Grand Prix,TSU,,6.0
2021,Azerbaijan Grand Prix,ALO,,11.0
2021,Azerbaijan Grand Prix,BOT,,14.0
2021,Azerbaijan Grand Prix,VET,,4.0
2021,Azerbaijan Grand Prix,OCO,,11.0
2021,Azerbaijan Grand Prix,RIC,,10.0
2021,Azerbaijan Grand Prix,RAI,,12.0
2021,Azerbaijan Grand Prix,RUS,,15.0
2021,Azerbaijan Grand Prix,LAT,,16.0
2021,Azerbaijan Grand Prix,MSC,,17.0
2021,Azerbaijan Grand Prix,MAZ,,18.0
2021,French Grand Prix,GAS,,7.0
2021,French Grand Prix,PER,,3.0
2021,French Grand Prix,ALO,,8.0
2021,French Grand Prix,LEC,,16.0
2021,French Grand Prix,STR,,11.0
2021,French Grand Prix,RIC,,6.0
2021,French Grand Prix,OCO,,15.0
2021,French Grand Prix,VER,,3.0
2021,French Grand Prix,NOR,,5.0
2021,French Grand Prix,HAM,,1.0
2021,French Grand Prix,MSC,,19.0
2021,French Grand Prix,VET,,9.0
2021,French Grand Prix,SAI,,13.0
2021,French Grand Prix,LAT,,18.0
2021,French Grand Prix,RUS,,12.0
2021,French Grand Prix,RAI,,17.0
2021,French Grand Prix,BOT,,4.0
2021,French Grand Prix,MAZ,,20.0
2021,French Grand Prix,GIO,,16.0
2021,Styrian Grand Prix,VER,,1.0
2021,Styrian Grand Prix,BOT,,3.0
2021,Styrian Grand Prix,HAM,,2.0
2021,Styrian Grand Prix,NOR,,5.0
2021,Styrian Grand Prix,PER,,4.0
2021,Austrian Grand Prix,VER,,1.0
2021,Austrian Grand Prix,NOR,,3.0
2021,Austrian Grand Prix,PER,,5.0
2021,Austrian Grand Prix,HAM,,4.0
2021,Austrian Grand Prix,BOT,,2.0
2021,Austrian Grand Prix,GAS,,9.0
2021,Austrian Grand Prix,TSU,,14.0
2021,Austrian Grand Prix,VET,,14.0
2021,Austrian Grand Prix,RUS,,10.0
2021,Austrian Grand Prix,STR,,15.0
2021,Austrian Grand Prix,SAI,,6.0
2021,Austrian Grand Prix,LEC,,7.0
2021,Austrian Grand Prix,RIC,,6.0
2021,Austrian Grand Prix,ALO,,10.0
2021,Austrian Grand Prix,GIO,,16.0
2021,Austrian Grand Prix,RAI,,12.0
2021,Hungarian Grand Prix,HAM,,5.0
2021,Dutch Grand Prix,VER,,1.0
2021,Dutch Grand Prix,HAM,,2.0
2021,Dutch Grand Prix,BOT,,3.0
2021,Dutch Grand Prix,GAS,,4.0
2021,Dutch Grand Prix,LEC,,5.0
2021,Dutch Grand Prix,SAI,,6.0
2021,Dutch Grand Prix,GIO,,15.0
2021,Dutch Grand Prix,OCO,,8.0
2021,Dutch Grand Prix,ALO,,7.0
2021,Dutch Grand Prix,RIC,,11.0
2021,Dutch Grand Prix,RUS,,12.0
2021,Dutch Grand Prix,STR,,13.0
2021,Dutch Grand Prix,NOR,,9.0
2021,Dutch Grand Prix,LAT,,19.0
2021,Dutch Grand Prix,TSU,,14.0
2021,Dutch Grand Prix,PER,,10.0
2021,Dutch Grand Prix,VET,,14.0
2021,Dutch Grand Prix,KUB,,18.0
2021,Dutch Grand Prix,MSC,,20.0
2021,Dutch Grand Prix,MAZ,,19.0
2021,Russian Grand Prix,NOR,,1.0
2021,Russian Grand Prix,SAI,,3.0
2021,Russian Grand Prix,RUS,,9.0
2021,Russian Grand Prix,HAM,,2.0
2021,Russian Grand Prix,RIC,,13.0
2021,Russian Grand Prix,ALO,,6.0
2021,Russian Grand Prix,BOT,,15.0
2021,Russian Grand Prix,STR,,9.0
2021,Russian Grand Prix,PER,,4.0
2021,Russian Grand Prix,OCO,,11.0
2021,Russian Grand Prix,VET,,11.0
2021,Russian Grand Prix,GAS,,15.0
2021,Russian Grand Prix,TSU,,17.0
2021,Russian Grand Prix,LAT,,16.0
2021,Russian Grand Prix,LEC,,8.0
2021,Russian Grand Prix,RAI,,12.0
2021,Russian Grand Prix,MSC,,20.0
2021,Russian Grand Prix,GIO,,18.0
2021,Russian Grand Prix,MAZ,,19.0
2021,Turkish Grand Prix,HAM,,5.0
2021,Turkish Grand Prix,BOT,,1.0
2021,Turkish Grand Prix,VER,,2.0
2021,Turkish Grand Prix,LEC,,4.0
2021,Turkish Grand Prix,GAS,,6.0
2021,Turkish Grand Prix,ALO,,16.0
2021,Turkish Grand Prix,PER,,3.0
2021,Turkish Grand Prix,NOR,,7.0
2021,Turkish Grand Prix,STR,,9.0
2021,Turkish Grand Prix,TSU,,14.0
2021,Turkish Grand Prix,VET,,18.0
2021,Turkish Grand Prix,OCO,,11.0
2021,Turkish Grand Prix,RUS,,15.0
2021,Turkish Grand Prix,MSC,,19.0
2021,Turkish Grand Prix,SAI,,8.0
2021,Turkish Grand Prix,RIC,,16.0
2021,Turkish Grand Prix,LAT,,17.0
2021,Turkish Grand Prix,GIO,,11.0
2021,Turkish Grand Prix,RAI,,13.0
2021,Turkish Grand Prix,MAZ,,20.0
2021,United States Grand Prix,VER,,1.0
2021,United States Grand Prix,HAM,,2.0
2021,United States Grand Prix,PER,,4.0
2021,United States Grand Prix,BOT,,7.0
2021,United States Grand Prix,LEC,,4.0
2021,United States Grand Prix,SAI,,6.0
2021,United States Grand Prix,RIC,,5.0
2021,United States Grand Prix,NOR,,8.0
2021,United States Grand Prix,GAS,,13.0
2021,United States Grand Prix,TSU,,9.0
2021,United States Grand Prix,OCO,,18.0
2021,United States Grand Prix,VET,,12.0
2021,United States Grand Prix,GIO,,11.0
2021,United States Grand Prix,ALO,,13.0
2021,United States Grand Prix,RUS,,15.0
2021,United States Grand Prix,STR,,14.0
2021,United States Grand Prix,LAT,,16.0
2021,United States Grand Prix,RAI,,10.0
2021,United States Grand Prix,MSC,,18.0
2021,United States Grand Prix,MAZ,,18.0
2021,Mexico City Grand Prix,BOT,,15.0
2021,Mexico City Grand Prix,HAM,,2.0
2021,Mexico City Grand Prix,VER,,1.0
2021,Mexico City Grand Prix,PER,,3.0
2021,Mexico City Grand Prix,GAS,,4.0
2021,Mexico City Grand Prix,SAI,,5.0
2021,Mexico City Grand Prix,RIC,,13.0
2021,Mexico City Grand Prix,LEC,,6.0
2021,Qatar Grand Prix,HAM,,1.0
2021,Qatar Grand Prix,VER,,2.0
2021,Qatar Grand Prix,BOT,,13.0
2021,Qatar Grand Prix,GAS,,11.0
2021,Qatar Grand Prix,ALO,,3.0
2021,Qatar Grand Prix,NOR,,10.0
2021,Qatar Grand Prix,SAI,,8.0
2021,Qatar Grand Prix,TSU,,13.0
2021,Qatar Grand Prix,OCO,,5.0
2021,Qatar Grand Prix,VET,,9.0
2021,Qatar Grand Prix,PER,,4.0
2021,Qatar Grand Prix,STR,,6.0
2021,Qatar Grand Prix,LEC,,9.0
2021,Qatar Grand Prix,RIC,,12.0
2021,Qatar Grand Prix,RUS,,17.0
2021,Qatar Grand Prix,RAI,,14.0
2021,Qatar Grand Prix,LAT,,17.0
2021,Qatar Grand Prix,GIO,,18.0
2021,Qatar Grand Prix,MSC,,19.0
2021,Qatar Grand Prix,MAZ,,18.0
2021,Saudi Arabian Grand Prix,HAM,,1.0
2021,Saudi Arabian Grand Prix,BOT,,4.0
2021,Saudi Arabian Grand Prix,VER,,1.0
2021,Saudi Arabian Grand Prix,LEC,,8.0
2021,Saudi Arabian Grand Prix,PER,,5.0
2021,Saudi Arabian Grand Prix,GAS,,6.0
2021,Saudi Arabian Grand Prix,NOR,,10.0
2021,Saudi Arabian Grand Prix,TSU,,15.0
2021,Saudi Arabian Grand Prix,OCO,,3.0
2021,Saudi Arabian Grand Prix,GIO,,7.0
2021,Saudi Arabian Grand Prix,RIC,,5.0
2021,Saudi Arabian Grand Prix,RAI,,15.0
2021,Saudi Arabian Grand Prix,ALO,,13.0
2021,Saudi Arabian Grand Prix,RUS,,17.0
2021,Saudi Arabian Grand Prix,SAI,,8.0
2021,Saudi Arabian Grand Prix,LAT,,12.0
2021,Saudi Arabian Grand Prix,VET,,14.0
2021,Saudi Arabian Grand Prix,STR,,11.0
2021,Saudi Arabian Grand Prix,MSC,,18.0
2021,Saudi Arabian Grand Prix,MAZ,,20.0
2021,Abu Dhabi Grand Prix,VER,,2.0
2021,Abu Dhabi Grand Prix,HAM,,1.0
2021,Abu Dhabi Grand Prix,NOR,,7.0
2021,Abu Dhabi Grand Prix,PER,,3.0
2021,Abu Dhabi Grand Prix,SAI,,4.0
2021,Abu Dhabi Grand Prix,BOT,,5.0
2021,Abu Dhabi Grand Prix,LEC,,12.0
2021,Abu Dhabi Grand Prix,TSU,,6.0
2021,Abu Dhabi Grand Prix,OCO,,9.0
2021,Abu Dhabi Grand Prix,RIC,,11.0
2021,Abu Dhabi Grand Prix,ALO,,8.0
2021,Abu Dhabi Grand Prix,GAS,,7.0
2021,Abu Dhabi Grand Prix,STR,,14.0
2021,Abu Dhabi Grand Prix,GIO,,13.0
2021,Abu Dhabi Grand Prix,VET,,11.0
2021,Abu Dhabi Grand Prix,LAT,,17.0
2021,Abu Dhabi Grand Prix,RUS,,15.0
2021,Abu Dhabi Grand Prix,RAI,,18.0
2021,Abu Dhabi Grand Prix,MSC,,15.0
2022,Bahrain Grand Prix,LEC,,1.0
2022,Bahrain Grand Prix,VER,,2.0
2022,Bahrain Grand Prix,SAI,,3.0
2022,Bahrain Grand Prix,PER,,4.0
2022,Bahrain Grand Prix,HAM,,5.0
2022,Bahrain Grand Prix,BOT,,8.0
2022,Bahrain Grand Prix,MAG,,7.0
2022,Bahrain Grand Prix,ALO,,14.0
2022,Bahrain Grand Prix,RUS,,5.0
2022,Bahrain Grand Prix,GAS,,10.0
2022,Bahrain Grand Prix,OCO,,9.0
2022,Bahrain Grand Prix,MSC,,15.0
2022,Bahrain Grand Prix,NOR,,17.0
2022,Bahrain Grand Prix,ALB,,15.0
2022,Bahrain Grand Prix,ZHO,,13.0
2022,Bahrain Grand Prix,TSU,,10.0
2022,Bahrain Grand Prix,HUL,,19.0
2022,Bahrain Grand Prix,RIC,,16.0
2022,Bahrain Grand Prix,STR,,14.0
2022,Bahrain Grand Prix,LAT,,18.0
2022,Saudi Arabian Grand Prix,PER,,4.0
2022,Saudi Arabian Grand Prix,LEC,,2.0
2022,Saudi Arabian Grand Prix,SAI,,3.0
2022,Saudi Arabian Grand Prix,VER,,1.0
2022,Saudi Arabian Grand Prix,OCO,,6.0
2022,Saudi Arabian Grand Prix,RUS,,5.0
2022,Saudi Arabian Grand Prix,ALO,,8.0
2022,Saudi Arabian Grand Prix,BOT,,9.0
2022,Saudi Arabian Grand Prix,GAS,,8.0
2022,Saudi Arabian Grand Prix,MAG,,9.0
2022,Saudi Arabian Grand Prix,NOR,,7.0
2022,Saudi Arabian Grand Prix,RIC,,11.0
2022,Saudi Arabian Grand Prix,ZHO,,13.0
2022,Saudi Arabian Grand Prix,STR,,11.0
2022,Saudi Arabian Grand Prix,HAM,,10.0
2022,Saudi Arabian Grand Prix,ALB,,12.0
2022,Saudi Arabian Grand Prix,HUL,,14.0
2022,Saudi Arabian Grand Prix,LAT,,17.0
2022,Australian Grand Prix,LEC,,1.0
2022,Australian Grand Prix,VER,,2.0
2022,Australian Grand Prix,PER,,2.0
2022,Australian Grand Prix,NOR,,5.0
2022,Australian Grand Prix,HAM,,4.0
2022,Australian Grand Prix,RUS,,3.0
2022,Australian Grand Prix,RIC,,6.0
2022,Australian Grand Prix,OCO,,7.0
2022,Miami Grand Prix,LEC,,2.0
2022,Miami Grand Prix,SAI,,3.0
2022,Miami Grand Prix,VER,,1.0
2022,Miami Grand Prix,PER,,4.0
2022,Miami Grand Prix,BOT,,7.0
2022,Miami Grand Prix,HAM,,6.0
2022,Miami Grand Prix,GAS,,9.0
2022,Miami Grand Prix,NOR,,14.0
2022,Miami Grand Prix,TSU,,14.0
2022,Miami Grand Prix,STR,,15.0
2022,Miami Grand Prix,ALO,,8.0
2022,Miami Grand Prix,RUS,,5.0
2022,Miami Grand Prix,VET,,11.0
2022,Miami Grand Prix,RIC,,11.0
2022,Miami Grand Prix,MSC,,16.0
2022,Miami Grand Prix,MAG,,14.0
2022,Miami Grand Prix,ZHO,,14.0
2022,Miami Grand Prix,ALB,,10.0
2022,Miami Grand Prix,LAT,,17.0
2023,Bahrain Grand Prix,VER,,1.0
2023,Bahrain Grand Prix,PER,,2.0
2023,Bahrain Grand Prix,LEC,,3.0
2023,Bahrain Grand Prix,SAI,,4.0
2023,Bahrain Grand Prix,ALO,,6.0
2023,Bahrain Grand Prix,RUS,,8.0
2023,Bahrain Grand Prix,HAM,,5.0
2023,Bahrain Grand Prix,STR,,7.0
2023,Bahrain Grand Prix,OCO,,19.0
2023,Bahrain Grand Prix,HUL,,16.0
2023,Bahrain Grand Prix,NOR,,17.0
2023,Bahrain Grand Prix,BOT,,10.0
2023,Bahrain Grand Prix,ZHO,,16.0
2023,Bahrain Grand Prix,TSU,,11.0
2023,Bahrain Grand Prix,ALB,,10.0
2023,Bahrain Grand Prix,SAR,,14.0
2023,Bahrain Grand Prix,MAG,,15.0
2023,Bahrain Grand Prix,PIA,,16.0
2023,Bahrain Grand Prix,DEV,,15.0
2023,Bahrain Grand Prix,GAS,,9.0
2023,Saudi Arabian Grand Prix,PER,,1.0
2023,Saudi Arabian Grand Prix,LEC,,7.0
2023,Saudi Arabian Grand Prix,ALO,,3.0
2023,Saudi Arabian Grand Prix,RUS,,4.0
2023,Saudi Arabian Grand Prix,SAI,,6.0
2023,Saudi Arabian Grand Prix,STR,,4.0
2023,Saudi Arabian Grand Prix,OCO,,8.0
2023,Saudi Arabian Grand Prix,HAM,,5.0
2023,Saudi Arabian Grand Prix,PIA,,16.0
2023,Saudi Arabian Grand Prix,GAS,,9.0
2023,Saudi Arabian Grand Prix,HUL,,12.0
2023,Saudi Arabian Grand Prix,ZHO,,13.0
2023,Saudi Arabian Grand Prix,MAG,,11.0
2023,Saudi Arabian Grand Prix,BOT,,18.0
2023,Saudi Arabian Grand Prix,VER,,2.0
2023,Saudi Arabian Grand Prix,TSU,,11.0
2023,Saudi Arabian Grand Prix,ALB,,13.0
2023,Saudi Arabian Grand Prix,DEV,,14.0
2023,Saudi Arabian Grand Prix,NOR,,17.0
2023,Saudi Arabian Grand Prix,SAR,,15.0
2023,Australian Grand Prix,VER,,1.0
2023,Australian Grand Prix,RUS,,4.0
2023,Australian Grand Prix,HAM,,2.0
2023,Australian Grand Prix,ALO,,3.0
2023,Australian Grand Prix,SAI,,4.0
2023,Australian Grand Prix,STR,,6.0
2023,Miami Grand Prix,PER,,2.0
2023,Miami Grand Prix,ALO,,3.0
2023,Miami Grand Prix,SAI,,5.0
2023,Miami Grand Prix,MAG,,10.0
2023,Miami Grand Prix,GAS,,8.0
2023,Miami Grand Prix,RUS,,4.0
2023,Miami Grand Prix,LEC,,7.0
2023,Miami Grand Prix,OCO,,9.0
2023,Miami Grand Prix,VER,,1.0
2023,Miami Grand Prix,BOT,,13.0
2023,Miami Grand Prix,ALB,,14.0
2023,Miami Grand Prix,HUL,,16.0
2023,Miami Grand Prix,HAM,,6.0
2023,Miami Grand Prix,ZHO,,16.0
2023,Miami Grand Prix,DEV,,18.0
2023,Miami Grand Prix,NOR,,16.0
2023,Miami Grand Prix,TSU,,11.0
2023,Miami Grand Prix,STR,,15.0
2023,Miami Grand Prix,PIA,,19.0
2023,Miami Grand Prix,SAR,,20.0
2023,Monaco Grand Prix,VER,,1.0
2023,Monaco Grand Prix,SAI,,7.0
2023,Monaco Grand Prix,NOR,,10.0
2023,Monaco Grand Prix,GAS,,8.0
2023,Monaco Grand Prix,HAM,,8.0
2023,Monaco Grand Prix,STR,,15.0
2023,Monaco Grand Prix,OCO,,6.0
2023,Monaco Grand Prix,HUL,,20.0
2023,Monaco Grand Prix,ALO,,2.0
2023,Monaco Grand Prix,PIA,,11.0
2023,Monaco Grand Prix,PER,,18.0
2023,Monaco Grand Prix,RUS,,3.0
2023,Monaco Grand Prix,ZHO,,19.0
2023,Monaco Grand Prix,DEV,,12.0
2023,Monaco Grand Prix,TSU,,9.0
2023,Monaco Grand Prix,BOT,,13.0
2023,Monaco Grand Prix,MAG,,14.0
2023,Monaco Grand Prix,ALB,,19.0
2023,Monaco Grand Prix,LEC,,8.0
2023,Monaco Grand Prix,SAR,,20.0
2023,Spanish Grand Prix,VER,,1.0
2023,Spanish Grand Prix,HUL,,15.0
2023,Spanish Grand Prix,ALO,,8.0
2023,Spanish Grand Prix,HAM,,2.0
2023,Spanish Grand Prix,RUS,,4.0
2023,Spanish Grand Prix,OCO,,8.0
2023,Spanish Grand Prix,NOR,,18.0
2023,Spanish Grand Prix,SAI,,5.0
2023,Spanish Grand Prix,PIA,,13.0
2023,Spanish Grand Prix,ALB,,16.0
2023,Spanish Grand Prix,LEC,,12.0
2023,Spanish Grand Prix,PER,,5.0
2023,Spanish Grand Prix,STR,,6.0
2023,Spanish Grand Prix,MAG,,19.0
2023,Spanish Grand Prix,BOT,,20.0
2023,Spanish Grand Prix,TSU,,9.0
2023,Spanish Grand Prix,GAS,,14.0
2023,Spanish Grand Prix,DEV,,16.0
2023,Spanish Grand Prix,SAR,,19.0
2023,Spanish Grand Prix,ZHO,,15.0
2023,Canadian Grand Prix,VER,,1.0
2023,Canadian Grand Prix,LEC,,4.0
2023,Canadian Grand Prix,ALO,,2.0
2023,Canadian Grand Prix,MAG,,17.0
2023,Canadian Grand Prix,SAI,,5.0
2023,Canadian Grand Prix,GAS,,13.0
2023,Canadian Grand Prix,STR,,11.0
2023,Canadian Grand Prix,TSU,,14.0
2023,Canadian Grand Prix,BOT,,10.0
2023,Canadian Grand Prix,HAM,,3.0
2023,Canadian Grand Prix,HUL,,14.0
2023,Canadian Grand Prix,PIA,,12.0
2023,Canadian Grand Prix,NOR,,9.0
2023,Canadian Grand Prix,ALB,,7.0
2023,Canadian Grand Prix,RUS,,8.0
2023,Canadian Grand Prix,DEV,,19.0
2023,Canadian Grand Prix,PER,,6.0
2023,Canadian Grand Prix,ZHO,,16.0
2023,Canadian Grand Prix,OCO,,8.0
2023,Canadian Grand Prix,SAR,,18.0
2023,British Grand Prix,HAM,,3.0
2023,British Grand Prix,VER,,1.0
2023,British Grand Prix,NOR,,2.0
2023,British Grand Prix,PIA,,4.0
2023,British Grand Prix,ZHO,,16.0
2023,British Grand Prix,LEC,,9.0
2023,British Grand Prix,BOT,,13.0
2023,British Grand Prix,ALO,,7.0
2023,British Grand Prix,PER,,6.0
2023,British Grand Prix,HUL,,14.0
2023,British Grand Prix,SAI,,10.0
2023,British Grand Prix,OCO,,12.0
2023,British Grand Prix,STR,,11.0
2023,British Grand Prix,GAS,,12.0
2023,British Grand Prix,ALB,,9.0
2023,British Grand Prix,TSU,,15.0
2023,British Grand Prix,RUS,,5.0
2023,British Grand Prix,MAG,,15.0
2023,British Grand Prix,SAR,,13.0
2023,British Grand Prix,DEV,,17.0
2023,Hungarian Grand Prix,HAM,,5.0
2023,Hungarian Grand Prix,VER,,1.0
2023,Hungarian Grand Prix,PER,,3.0
2023,Hungarian Grand Prix,HUL,,15.0
2023,Hungarian Grand Prix,NOR,,2.0
2023,Hungarian Grand Prix,RUS,,8.0
2023,Hungarian Grand Prix,LEC,,6.0
2023,Hungarian Grand Prix,SAI,,7.0
2023,Hungarian Grand Prix,ALO,,9.0
2023,Hungarian Grand Prix,BOT,,13.0
2023,Hungarian Grand Prix,STR,,10.0
2023,Hungarian Grand Prix,ZHO,,18.0
2023,Hungarian Grand Prix,ALB,,11.0
2023,Hungarian Grand Prix,PIA,,4.0
2023,Hungarian Grand Prix,MAG,,18.0
2023,Dutch Grand Prix,SAI,,4.0
2023,Dutch Grand Prix,VER,,1.0
2023,Dutch Grand Prix,LEC,,15.0
2023,Dutch Grand Prix,RUS,,7.0
2023,Dutch Grand Prix,PER,,2.0
2023,Dutch Grand Prix,ALB,,6.0
2023,Dutch Grand Prix,PIA,,12.0
2023,Dutch Grand Prix,HAM,,7.0
2023,Dutch Grand Prix,NOR,,10.0
2023,Dutch Grand Prix,ALO,,3.0
2023,Dutch Grand Prix,TSU,,8.0
2023,Dutch Grand Prix,LAW,,18.0
2023,Dutch Grand Prix,HUL,,16.0
2023,Dutch Grand Prix,BOT,,17.0
2023,Dutch Grand Prix,SAR,,20.0
2023,Dutch Grand Prix,ZHO,,17.0
2023,Dutch Grand Prix,GAS,,5.0
2023,Dutch Grand Prix,OCO,,9.0
2023,Dutch Grand Prix,MAG,,18.0
2023,Dutch Grand Prix,STR,,19.0
2023,Italian Grand Prix,SAI,,2.0
2023,Italian Grand Prix,RUS,,5.0
2023,Italian Grand Prix,LEC,,4.0
2023,Italian Grand Prix,NOR,,9.0
2023,Italian Grand Prix,HAM,,9.0
2023,Italian Grand Prix,MAG,,18.0
2023,Italian Grand Prix,ALO,,9.0
2023,Italian Grand Prix,OCO,,17.0
2023,Italian Grand Prix,HUL,,17.0
2023,Italian Grand Prix,LAW,,12.0
2023,Italian Grand Prix,VER,,1.0
2023,Italian Grand Prix,GAS,,16.0
2023,Italian Grand Prix,PER,,3.0
2023,Italian Grand Prix,ALB,,6.0
2023,Singapore Grand Prix,VER,,6.0
2023,Singapore Grand Prix,PIA,,7.0
2023,Singapore Grand Prix,NOR,,2.0
2023,Singapore Grand Prix,LEC,,3.0
2023,Singapore Grand Prix,PER,,9.0
2023,Singapore Grand Prix,SAI,,1.0
2023,Singapore Grand Prix,HAM,,5.0
2023,Singapore Grand Prix,RUS,,4.0
2023,Japanese Grand Prix,VER,,1.0
2023,Japanese Grand Prix,NOR,,2.0
2023,Japanese Grand Prix,PIA,,5.0
2023,Japanese Grand Prix,PER,,16.0
2023,Japanese Grand Prix,LEC,,5.0
2023,Japanese Grand Prix,SAI,,7.0
2023,Japanese Grand Prix,HAM,,7.0
2023,Japanese Grand Prix,RUS,,7.0
2023,Japanese Grand Prix,ALO,,11.0
2023,Japanese Grand Prix,ZHO,,13.0
2023,Japanese Grand Prix,BOT,,20.0
2023,Japanese Grand Prix,MAG,,15.0
2023,Japanese Grand Prix,OCO,,10.0
2023,Japanese Grand Prix,TSU,,13.0
2023,Japanese Grand Prix,HUL,,14.0
2023,Japanese Grand Prix,LAW,,11.0
2023,Japanese Grand Prix,ALB,,17.0
2023,Japanese Grand Prix,STR,,14.0
2023,Japanese Grand Prix,GAS,,10.0
2023,Mexico City Grand Prix,VER,,1.0
2023,Mexico City Grand Prix,ALB,,9.0
2023,Abu Dhabi Grand Prix,RUS,,3.0
2023,Abu Dhabi Grand Prix,NOR,,4.0
2023,Abu Dhabi Grand Prix,PIA,,10.0
2023,Abu Dhabi Grand Prix,ALB,,16.0
2023,Abu Dhabi Grand Prix,LEC,,2.0
2023,Abu Dhabi Grand Prix,VER,,1.0
2023,Abu Dhabi Grand Prix,OCO,,11.0
2023,Abu Dhabi Grand Prix,TSU,,7.0
2023,Abu Dhabi Grand Prix,ZHO,,17.0
2023,Abu Dhabi Grand Prix,PER,,5.0
2023,Abu Dhabi Grand Prix,HAM,,9.0
2023,Abu Dhabi Grand Prix,GAS,,17.0
2023,Abu Dhabi Grand Prix,ALO,,10.0
2023,Abu Dhabi Grand Prix,STR,,12.0
2023,Abu Dhabi Grand Prix,BOT,,17.0
2023,Abu Dhabi Grand Prix,HUL,,15.0
2023,Abu Dhabi Grand Prix,RIC,,13.0
2023,Abu Dhabi Grand Prix,MAG,,19.0
2023,Abu Dhabi Grand Prix,SAI,,9.0
